unique_squirrel_id,area_name,area_id,park_name,park_id,primary_fur_color,highlights_in_fur_color,location,above_ground_height_in_feet,specific_location,interactions_with_humans,lat,long,lat_long,activity
A-01-01,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.85941,-73.933936,POINT (-73.933936 40.85941),3
A-01-02,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.859436,-73.933937,POINT (-73.933937 40.859436),3
A-01-03,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.859416,-73.933894,POINT (-73.933894 40.859416),2
A-01-04,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.859418,-73.933895,POINT (-73.933895 40.859418),1
A-01-05,UPPER MANHATTAN,A,Fort Tryon Park,01,1,Cinnamon,1,NA,NA,Indifferent,40.859493,-73.93359,POINT (-73.93359 40.859493),1
A-01-06,UPPER MANHATTAN,A,Fort Tryon Park,01,1,Cinnamon,1,NA,NA,Indifferent,40.860825,-73.932871,POINT (-73.932871 40.860825),4
A-01-07,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.860225,-73.933143,POINT (-73.933143 40.860225),3
A-01-08,UPPER MANHATTAN,A,Fort Tryon Park,01,3,Gray,2,10,NA,Runs From,40.859965,-73.933412,POINT (-73.933412 40.859965),4
A-01-09,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.859892,-73.933326,POINT (-73.933326 40.859892),3
A-01-10,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Indifferent,40.859636,-73.933717,POINT (-73.933717 40.859636),2
A-01-11,UPPER MANHATTAN,A,Fort Tryon Park,01,1,Black,1,NA,NA,Indifferent,40.859576,-73.933738,POINT (-73.933738 40.859576),2
A-01-12,UPPER MANHATTAN,A,Fort Tryon Park,01,1,White,1,NA,NA,Runs From,40.859989,-73.934544,POINT (-73.934544 40.859989),1
A-02-01,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Gray,1,NA,NA,Indifferent,40.845749,-73.9407,POINT (-73.9407 40.845749),1
A-02-02,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,2,2,NA,Indifferent,40.845875,-73.940808,POINT (-73.940808 40.845875),3
A-02-03,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,NA,40.845875,-73.940808,POINT (-73.940808 40.845875),3
A-02-04,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846088,-73.940613,POINT (-73.940613 40.846088),1
A-02-05,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Runs From,40.846088,-73.940613,POINT (-73.940613 40.846088),1
A-02-06,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846088,-73.940613,POINT (-73.940613 40.846088),3
A-02-07,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Gray,1,NA,NA,Runs From,40.846222,-73.94094,POINT (-73.94094 40.846222),0
A-02-08,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846222,-73.94094,POINT (-73.94094 40.846222),3
A-02-09,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846197,-73.941026,POINT (-73.941026 40.846197),5
A-02-10,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846185,-73.940613,POINT (-73.940613 40.846185),1
A-02-11,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Runs From,40.846271,-73.940579,POINT (-73.940579 40.846271),2
A-02-12,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,2,15,tree,Indifferent,40.846332,-73.940369,POINT (-73.940369 40.846332),4
A-02-13,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,White,2,20,tree,Indifferent,40.846332,-73.940369,POINT (-73.940369 40.846332),0
A-02-14,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Gray,1,NA,NA,Indifferent,40.846332,-73.940369,POINT (-73.940369 40.846332),1
A-02-15,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,White,1,NA,NA,Indifferent,40.846458,-73.94103,POINT (-73.94103 40.846458),1
A-02-16,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,2,20,tree,Indifferent,40.846417,-73.941115,POINT (-73.941115 40.846417),2
A-02-17,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Gray,1,NA,NA,Indifferent,40.846296,-73.941132,POINT (-73.941132 40.846296),1
A-02-18,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.846064,-73.941497,POINT (-73.941497 40.846064),3
A-02-19,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,2,2,tree,Indifferent,40.846065,-73.941498,POINT (-73.941498 40.846065),4
A-02-20,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.847296,-73.942061,POINT (-73.942061 40.847296),3
A-02-21,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Runs From,40.847259,-73.941598,POINT (-73.941598 40.847259),3
A-02-22,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,1,NA,NA,Indifferent,40.84719,-73.941308,POINT (-73.941308 40.84719),3
A-02-23,UPPER MANHATTAN,A,J. Hood Wright Park,02,1,Cinnamon,2,2,fence,Indifferent,40.84719,-73.941308,POINT (-73.941308 40.84719),2
A-02-24,UPPER MANHATTAN,A,J. Hood Wright Park,02,2,White,2,20,tree,Indifferent,40.847113,-73.940937,POINT (-73.940937 40.847113),0
A-03-01,UPPER MANHATTAN,A,Highbridge Park,03,1,Cinnamon,2,2,in tree,Watches us from tree,40.841178,-73.935482,POINT (-73.935482 40.841178),5
A-03-02,UPPER MANHATTAN,A,Highbridge Park,03,1,White,2,2,in tree,Runs From,40.841204,-73.935434,POINT (-73.935434 40.841204),5
A-03-03,UPPER MANHATTAN,A,Highbridge Park,03,1,White,2,2,in tree,NA,40.841212,-73.934827,POINT (-73.934827 40.841212),1
