"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1","37F-PM-1014-03","37F","2",2018-10-14,3,"0","0",NA,"+","0","POINT (-73.9561344937861 40.7940823884086)",-73.9561344937861,40.7940823884086,"0","0","0"
"2","21B-AM-1019-04","21B","1",2018-10-19,4,"0","0",NA,"+","0","POINT (-73.9688574691102 40.7837825208444)",-73.9688574691102,40.7837825208444,"0","0","0"
"3","11B-PM-1014-08","11B","2",2018-10-14,8,"0","1",NA,"Gray+","2","POINT (-73.97428114848522 40.775533619083)",-73.9742811484852,40.775533619083,"5","0","0"
"4","32E-PM-1017-14","32E","2",2018-10-17,14,"1","1",NA,"Gray+","0","POINT (-73.9596413903948 40.7903128889029)",-73.9596413903948,40.7903128889029,"2","2","0"
"5","13E-AM-1017-05","13E","1",2018-10-17,5,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9702676472613 40.7762126854894)",-73.9702676472613,40.7762126854894,"3","0","0"
"6","11H-AM-1010-03","11H","1",2018-10-10,3,"1","2","White","Cinnamon+White","0","POINT (-73.9683613516225 40.7725908847499)",-73.9683613516225,40.7725908847499,"3","1","0"
"7","36H-AM-1010-02","36H","1",2018-10-10,2,"1","1",NA,"Gray+","1","POINT (-73.9541201789795 40.7931811701082)",-73.9541201789795,40.7931811701082,"3","0","0"
"8","33F-AM-1008-02","33F","1",2018-10-08,2,"1","1",NA,"Gray+","1","POINT (-73.9582694312289 40.7917367820255)",-73.9582694312289,40.7917367820255,"3","1","0"
"9","21C-PM-1006-01","21C","2",2018-10-06,1,"1","1",NA,"Gray+","1","POINT (-73.9674285955293 40.7829723919744)",-73.9674285955293,40.7829723919744,"0","0","0"
"10","11D-AM-1010-03","11D","1",2018-10-10,3,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9722500196844 40.7742879599026)",-73.9722500196844,40.7742879599026,"4","1","0"
"11","20B-PM-1013-05","20B","2",2018-10-13,5,"1","1","White","Gray+White","1","POINT (-73.9695063535333 40.7823507678183)",-73.9695063535333,40.7823507678183,"3","1","0"
"12","22F-PM-1014-06","22F","2",2018-10-14,6,"1","1",NA,"Gray+","1","POINT (-73.9640032826529 40.7820309825448)",-73.9640032826529,40.7820309825448,"1","1","0"
